#"T" "Points:0" "Points:1" "Points:2"
0.98015 0.76 0.021417 0
0.95299 0.77 0.021417 0
0.92604 0.78 0.021417 0
0.89942 0.79 0.021417 0
0.87324 0.8 0.021417 0
0.8476 0.81 0.021417 0
0.82259 0.82 0.021417 0
0.79832 0.83 0.021417 0
0.77489 0.84 0.021417 0
0.75238 0.85 0.021417 0
0.73089 0.86 0.021417 0
0.71049 0.87 0.021417 0
0.69128 0.88 0.021417 0
0.67331 0.89 0.021417 0
0.65667 0.9 0.021417 0
0.64141 0.91 0.021417 0
0.6276 0.92 0.021417 0
0.61529 0.93 0.021417 0
0.60453 0.94 0.021417 0
0.59535 0.95 0.021417 0
0.58779 0.96 0.021417 0
0.58188 0.97 0.021417 0
0.57765 0.98 0.021417 0
0.5751 0.99 0.021417 0
0.57425 1 0.021417 0
0.58883 0 0.026138 0
0.58966 0.01 0.026138 0
0.59213 0.02 0.026138 0
0.59623 0.03 0.026138 0
0.60196 0.04 0.026138 0
0.60928 0.05 0.026138 0
0.61818 0.06 0.026138 0
0.62861 0.07 0.026138 0
0.64054 0.08 0.026138 0
0.65392 0.09 0.026138 0
0.66871 0.1 0.026138 0
0.68484 0.11 0.026138 0
0.70225 0.12 0.026138 0
0.72088 0.13 0.026138 0
0.74065 0.14 0.026138 0
0.76149 0.15 0.026138 0
0.78331 0.16 0.026138 0
0.80603 0.17 0.026138 0
0.82956 0.18 0.026138 0
0.85381 0.19 0.026138 0
0.87867 0.2 0.026138 0
0.90406 0.21 0.026138 0
0.92988 0.22 0.026138 0
0.95601 0.23 0.026138 0
0.98236 0.24 0.026138 0
1.0088 0.25 0.026138 0
1.0353 0.26 0.026138 0
1.0617 0.27 0.026138 0
1.0878 0.28 0.026138 0
1.1137 0.29 0.026138 0
1.1391 0.3 0.026138 0
1.1641 0.31 0.026138 0
1.1884 0.32 0.026138 0
1.2121 0.33 0.026138 0
1.2349 0.34 0.026138 0
1.2568 0.35 0.026138 0
1.2778 0.36 0.026138 0
1.2977 0.37 0.026138 0
1.3165 0.38 0.026138 0
1.334 0.39 0.026138 0
1.3503 0.4 0.026138 0
1.3652 0.41 0.026138 0
1.3787 0.42 0.026138 0
1.3908 0.43 0.026138 0
1.4013 0.44 0.026138 0
1.4103 0.45 0.026138 0
1.4177 0.46 0.026138 0
1.4235 0.47 0.026138 0
1.4277 0.48 0.026138 0
1.4302 0.49 0.026138 0
1.431 0.5 0.026138 0
1.4302 0.51 0.026138 0
1.4277 0.52 0.026138 0
1.4235 0.53 0.026138 0
1.4177 0.54 0.026138 0
1.4103 0.55 0.026138 0
1.4013 0.56 0.026138 0
1.3908 0.57 0.026138 0
1.3787 0.58 0.026138 0
1.3652 0.59 0.026138 0
1.3503 0.6 0.026138 0
1.334 0.61 0.026138 0
1.3165 0.62 0.026138 0
1.2977 0.63 0.026138 0
1.2778 0.64 0.026138 0
1.2568 0.65 0.026138 0
1.2349 0.66 0.026138 0
1.2121 0.67 0.026138 0
1.1884 0.68 0.026138 0
1.1641 0.69 0.026138 0
1.1391 0.7 0.026138 0
1.1137 0.71 0.026138 0
1.0878 0.72 0.026138 0
1.0617 0.73 0.026138 0
1.0353 0.74 0.026138 0
1.0088 0.75 0.026138 0
0.98236 0.76 0.026138 0
0.95601 0.77 0.026138 0
0.92988 0.78 0.026138 0
0.90406 0.79 0.026138 0
0.87867 0.8 0.026138 0
0.85381 0.81 0.026138 0
0.82956 0.82 0.026138 0
0.80603 0.83 0.026138 0
0.78331 0.84 0.026138 0
0.76149 0.85 0.026138 0
0.74065 0.86 0.026138 0
0.72088 0.87 0.026138 0
0.70225 0.88 0.026138 0
0.68484 0.89 0.026138 0
0.66871 0.9 0.026138 0
0.65392 0.91 0.026138 0
0.64054 0.92 0.026138 0
0.62861 0.93 0.026138 0
0.61818 0.94 0.026138 0
0.60928 0.95 0.026138 0
0.60196 0.96 0.026138 0
0.59623 0.97 0.026138 0
0.59213 0.98 0.026138 0
0.58966 0.99 0.026138 0
0.58883 1 0.026138 0
0.60334 0 0.031018 0
0.60414 0.01 0.031018 0
0.60653 0.02 0.031018 0
0.6105 0.03 0.031018 0
0.61604 0.04 0.031018 0
0.62314 0.05 0.031018 0
0.63175 0.06 0.031018 0
0.64185 0.07 0.031018 0
0.65341 0.08 0.031018 0
0.66637 0.09 0.031018 0
0.68069 0.1 0.031018 0
0.69631 0.11 0.031018 0
0.71317 0.12 0.031018 0
0.73122 0.13 0.031018 0
0.75037 0.14 0.031018 0
0.77055 0.15 0.031018 0
0.79169 0.16 0.031018 0
0.81369 0.17 0.031018 0
0.83649 0.18 0.031018 0
0.85998 0.19 0.031018 0
0.88407 0.2 0.031018 0
0.90867 0.21 0.031018 0
0.93367 0.22 0.031018 0
0.95899 0.23 0.031018 0
0.98452 0.24 0.031018 0
1.0102 0.25 0.031018 0
1.0358 0.26 0.031018 0
1.0614 0.27 0.031018 0
1.0867 0.28 0.031018 0
1.1118 0.29 0.031018 0
1.1365 0.3 0.031018 0
1.1606 0.31 0.031018 0
1.1842 0.32 0.031018 0
1.2071 0.33 0.031018 0
1.2292 0.34 0.031018 0
1.2505 0.35 0.031018 0
1.2708 0.36 0.031018 0
1.2901 0.37 0.031018 0
1.3083 0.38 0.031018 0
1.3253 0.39 0.031018 0
1.3411 0.4 0.031018 0
1.3556 0.41 0.031018 0
1.3686 0.42 0.031018 0
1.3803 0.43 0.031018 0
1.3905 0.44 0.031018 0
1.3993 0.45 0.031018 0
1.4064 0.46 0.031018 0
1.4121 0.47 0.031018 0
1.4161 0.48 0.031018 0
1.4185 0.49 0.031018 0
1.4193 0.5 0.031018 0
1.4185 0.51 0.031018 0
1.4161 0.52 0.031018 0
1.4121 0.53 0.031018 0
1.4064 0.54 0.031018 0
1.3993 0.55 0.031018 0
1.3905 0.56 0.031018 0
1.3803 0.57 0.031018 0
1.3686 0.58 0.031018 0
1.3556 0.59 0.031018 0
1.3411 0.6 0.031018 0
1.3253 0.61 0.031018 0
1.3083 0.62 0.031018 0
1.2901 0.63 0.031018 0
1.2708 0.64 0.031018 0
1.2505 0.65 0.031018 0
1.2292 0.66 0.031018 0
1.2071 0.67 0.031018 0
1.1842 0.68 0.031018 0
1.1606 0.69 0.031018 0
1.1365 0.7 0.031018 0
1.1118 0.71 0.031018 0
1.0867 0.72 0.031018 0
1.0614 0.73 0.031018 0
1.0358 0.74 0.031018 0
1.0102 0.75 0.031018 0
0.98452 0.76 0.031018 0
0.95899 0.77 0.031018 0
0.93367 0.78 0.031018 0
0.90867 0.79 0.031018 0
0.88407 0.8 0.031018 0
0.85998 0.81 0.031018 0
0.83649 0.82 0.031018 0
0.81369 0.83 0.031018 0
0.79169 0.84 0.031018 0
0.77055 0.85 0.031018 0
0.75037 0.86 0.031018 0
0.73122 0.87 0.031018 0
0.71317 0.88 0.031018 0
0.69631 0.89 0.031018 0
0.68069 0.9 0.031018 0
0.66637 0.91 0.031018 0
0.65341 0.92 0.031018 0
0.64185 0.93 0.031018 0
0.63175 0.94 0.031018 0
0.62314 0.95 0.031018 0
0.61604 0.96 0.031018 0
0.6105 0.97 0.031018 0
0.60653 0.98 0.031018 0
0.60414 0.99 0.031018 0
0.60334 1 0.031018 0
0.61775 0 0.03606 0
0.61852 0.01 0.03606 0
0.62084 0.02 0.03606 0
0.62468 0.03 0.03606 0
0.63004 0.04 0.03606 0
0.63691 0.05 0.03606 0
0.64524 0.06 0.03606 0
0.65501 0.07 0.03606 0
0.66619 0.08 0.03606 0
0.67873 0.09 0.03606 0
0.69259 0.1 0.03606 0
0.70771 0.11 0.03606 0
0.72402 0.12 0.03606 0
0.74148 0.13 0.03606 0
0.76001 0.14 0.03606 0
0.77955 0.15 0.03606 0
0.8 0.16 0.03606 0
0.8213 0.17 0.03606 0
0.84336 0.18 0.03606 0
0.8661 0.19 0.03606 0
0.88941 0.2 0.03606 0
0.91322 0.21 0.03606 0
0.93743 0.22 0.03606 0
0.96194 0.23 0.03606 0
0.98665 0.24 0.03606 0
1.0115 0.25 0.03606 0
1.0363 0.26 0.03606 0
1.061 0.27 0.03606 0
1.0856 0.28 0.03606 0
1.1099 0.29 0.03606 0
1.1337 0.3 0.03606 0
1.1571 0.31 0.03606 0
1.18 0.32 0.03606 0
1.2021 0.33 0.03606 0
1.2236 0.34 0.03606 0
1.2442 0.35 0.03606 0
1.2638 0.36 0.03606 0
1.2825 0.37 0.03606 0
1.3001 0.38 0.03606 0
1.3166 0.39 0.03606 0
1.3319 0.4 0.03606 0
1.3459 0.41 0.03606 0
1.3586 0.42 0.03606 0
1.3699 0.43 0.03606 0
1.3798 0.44 0.03606 0
1.3882 0.45 0.03606 0
1.3952 0.46 0.03606 0
1.4006 0.47 0.03606 0
1.4045 0.48 0.03606 0
1.4068 0.49 0.03606 0
1.4076 0.5 0.03606 0
1.4068 0.51 0.03606 0
1.4045 0.52 0.03606 0
1.4006 0.53 0.03606 0
1.3952 0.54 0.03606 0
1.3882 0.55 0.03606 0
1.3798 0.56 0.03606 0
1.3699 0.57 0.03606 0
1.3586 0.58 0.03606 0
1.3459 0.59 0.03606 0
1.3319 0.6 0.03606 0
1.3166 0.61 0.03606 0
1.3001 0.62 0.03606 0
1.2825 0.63 0.03606 0
1.2638 0.64 0.03606 0
1.2442 0.65 0.03606 0
1.2236 0.66 0.03606 0
1.2021 0.67 0.03606 0
1.18 0.68 0.03606 0
1.1571 0.69 0.03606 0
1.1337 0.7 0.03606 0
