#"p" "T" "U:0" "U:1" "U:2" "Points:0" "Points:1" "Points:2"
-2.3085 0.55598 0.67533 -0.082618 0 0.95 0.0081471 0
-2.0308 0.5476 0.75584 -0.081605 0 0.96 0.0081471 0
-1.7134 0.541 0.83615 -0.08004 0 0.97 0.0081471 0
-1.3612 0.53619 0.91638 -0.077948 0 0.98 0.0081471 0
-0.97814 0.53319 0.99665 -0.075361 0 0.99 0.0081471 0
-0.56762 0.53202 1.0771 -0.072319 0 1 0.0081471 0
-0.79119 0.54776 1.0539 -0.10856 0 0 0.012426 0
-0.36468 0.54827 1.1301 -0.10358 0 0.01 0.012426 0
0.086719 0.55055 1.2069 -0.098057 0 0.02 0.012426 0
0.56206 0.55459 1.2845 -0.09207 0 0.03 0.012426 0
1.0611 0.56038 1.3629 -0.085684 0 0.04 0.012426 0
1.5843 0.56791 1.4423 -0.078964 0 0.05 0.012426 0
2.1324 0.57715 1.5227 -0.071972 0 0.06 0.012426 0
2.7065 0.58807 1.6038 -0.064766 0 0.07 0.012426 0
3.3078 0.60064 1.6858 -0.057392 0 0.08 0.012426 0
3.9373 0.61482 1.7684 -0.049894 0 0.09 0.012426 0
4.5961 0.63054 1.8513 -0.042304 0 0.1 0.012426 0
5.2847 0.64777 1.9344 -0.034649 0 0.11 0.012426 0
6.0035 0.66642 2.0173 -0.026948 0 0.12 0.012426 0
6.7519 0.68644 2.0995 -0.019219 0 0.13 0.012426 0
7.5294 0.70774 2.1808 -0.011469 0 0.14 0.012426 0
8.3344 0.73024 2.2605 -0.0037064 0 0.15 0.012426 0
9.1653 0.75386 2.3382 0.0040652 0 0.16 0.012426 0
10.02 0.7785 2.4133 0.011842 0 0.17 0.012426 0
10.895 0.80406 2.4854 0.019621 0 0.18 0.012426 0
11.787 0.83045 2.5538 0.027401 0 0.19 0.012426 0
12.694 0.85755 2.618 0.035175 0 0.2 0.012426 0
13.612 0.88526 2.6774 0.042941 0 0.21 0.012426 0
14.536 0.91347 2.7314 0.050689 0 0.22 0.012426 0
15.462 0.94206 2.7796 0.05841 0 0.23 0.012426 0
16.386 0.97091 2.8214 0.066093 0 0.24 0.012426 0
17.304 0.99992 2.8563 0.073723 0 0.25 0.012426 0
18.212 1.029 2.8838 0.081285 0 0.26 0.012426 0
19.105 1.0579 2.9037 0.088759 0 0.27 0.012426 0
19.978 1.0867 2.9155 0.096122 0 0.28 0.012426 0
20.827 1.1151 2.9189 0.10334 0 0.29 0.012426 0
21.648 1.1431 2.9137 0.11042 0 0.3 0.012426 0
22.438 1.1706 2.8996 0.11732 0 0.31 0.012426 0
23.193 1.1974 2.8767 0.12401 0 0.32 0.012426 0
23.908 1.2235 2.8448 0.13046 0 0.33 0.012426 0
24.58 1.2487 2.8038 0.13664 0 0.34 0.012426 0
25.206 1.2729 2.754 0.14252 0 0.35 0.012426 0
25.782 1.2961 2.6955 0.14809 0 0.36 0.012426 0
26.305 1.3181 2.6283 0.1533 0 0.37 0.012426 0
26.774 1.3389 2.553 0.15812 0 0.38 0.012426 0
27.184 1.3583 2.4697 0.16254 0 0.39 0.012426 0
27.535 1.3763 2.3789 0.16652 0 0.4 0.012426 0
27.824 1.3929 2.281 0.17004 0 0.41 0.012426 0
28.049 1.4079 2.1766 0.17307 0 0.42 0.012426 0
28.209 1.4213 2.0663 0.1756 0 0.43 0.012426 0
28.303 1.433 1.9506 0.17759 0 0.44 0.012426 0
28.329 1.4431 1.8303 0.17905 0 0.45 0.012426 0
28.288 1.4514 1.7059 0.17994 0 0.46 0.012426 0
28.179 1.4579 1.5783 0.18027 0 0.47 0.012426 0
28.002 1.4626 1.4482 0.18001 0 0.48 0.012426 0
27.757 1.4655 1.3164 0.17916 0 0.49 0.012426 0
27.444 1.4666 1.1836 0.17772 0 0.5 0.012426 0
27.066 1.4658 1.0507 0.17568 0 0.51 0.012426 0
26.622 1.4633 0.91849 0.17305 0 0.52 0.012426 0
26.114 1.4588 0.78767 0.16984 0 0.53 0.012426 0
25.545 1.4526 0.65906 0.16604 0 0.54 0.012426 0
24.915 1.4446 0.53342 0.16168 0 0.55 0.012426 0
24.229 1.4349 0.41147 0.15676 0 0.56 0.012426 0
23.487 1.4235 0.29391 0.1513 0 0.57 0.012426 0
22.693 1.4104 0.18139 0.14532 0 0.58 0.012426 0
21.851 1.3957 0.074549 0.13885 0 0.59 0.012426 0
20.963 1.3794 -0.026058 0.1319 0 0.6 0.012426 0
20.034 1.3617 -0.11991 0.1245 0 0.61 0.012426 0
19.068 1.3425 -0.20653 0.11669 0 0.62 0.012426 0
18.068 1.3221 -0.28554 0.10848 0 0.63 0.012426 0
17.039 1.3004 -0.35657 0.09992 0 0.64 0.012426 0
15.987 1.2775 -0.41936 0.091038 0 0.65 0.012426 0
14.915 1.2535 -0.47369 0.081868 0 0.66 0.012426 0
13.829 1.2286 -0.51941 0.072449 0 0.67 0.012426 0
12.734 1.2028 -0.55646 0.062817 0 0.68 0.012426 0
11.636 1.1763 -0.58481 0.053011 0 0.69 0.012426 0
10.54 1.149 -0.60452 0.043071 0 0.7 0.012426 0
9.4519 1.1213 -0.61571 0.033038 0 0.71 0.012426 0
8.3773 1.0931 -0.61856 0.022952 0 0.72 0.012426 0
7.3219 1.0645 -0.61332 0.012856 0 0.73 0.012426 0
6.2911 1.0358 -0.60027 0.0027885 0 0.74 0.012426 0
5.2909 1.0069 -0.57978 -0.0072063 0 0.75 0.012426 0
4.3269 0.97806 -0.55221 -0.017085 0 0.76 0.012426 0
3.4044 0.94935 -0.51802 -0.026804 0 0.77 0.012426 0
2.5287 0.92089 -0.47767 -0.036321 0 0.78 0.012426 0
1.7046 0.89278 -0.43165 -0.045589 0 0.79 0.012426 0
0.93681 0.86515 -0.38049 -0.054565 0 0.8 0.012426 0
0.22947 0.83809 -0.32471 -0.063202 0 0.81 0.012426 0
-0.41371 0.81171 -0.26484 -0.071453 0 0.82 0.012426 0
-0.98955 0.78612 -0.20143 -0.079272 0 0.83 0.012426 0
-1.4955 0.76141 -0.135 -0.086611 0 0.84 0.012426 0
-1.9297 0.73768 -0.066042 -0.093422 0 0.85 0.012426 0
-2.291 0.71502 0.0049487 -0.099659 0 0.86 0.012426 0
-2.5791 0.69351 0.077532 -0.10527 0 0.87 0.012426 0
-2.7945 0.67323 0.1513 -0.11022 0 0.88 0.012426 0
-2.9384 0.65427 0.2259 -0.11446 0 0.89 0.012426 0
-3.013 0.63668 0.30102 -0.11795 0 0.9 0.012426 0
-3.0211 0.62054 0.37642 -0.12066 0 0.91 0.012426 0
-2.9663 0.60589 0.45189 -0.12256 0 0.92 0.012426 0
-2.8526 0.5928 0.52732 -0.12364 0 0.93 0.012426 0
-2.6845 0.5813 0.60262 -0.12387 0 0.94 0.012426 0
-2.4667 0.57145 0.67778 -0.12328 0 0.95 0.012426 0
-2.204 0.56326 0.75282 -0.12185 0 0.96 0.012426 0
-1.9011 0.55678 0.82783 -0.11963 0 0.97 0.012426 0
-1.5622 0.55202 0.90292 -0.11664 0 0.98 0.012426 0
-1.1912 0.54901 0.97822 -0.11293 0 0.99 0.012426 0
