#"T"	"Points:0"	"Points:1"	"Points:2"
1.011	0.19	0.12	0
1.0142	0.2	0.12	0
1.0175	0.21	0.12	0
1.0209	0.22	0.12	0
1.0243	0.23	0.12	0
1.0277	0.24	0.12	0
1.0312	0.25	0.12	0
1.0346	0.26	0.12	0
1.038	0.27	0.12	0
1.0414	0.28	0.12	0
1.0447	0.29	0.12	0
1.048	0.3	0.12	0
1.0513	0.31	0.12	0
1.0544	0.32	0.12	0
1.0575	0.33	0.12	0
1.0604	0.34	0.12	0
1.0633	0.35	0.12	0
1.066	0.36	0.12	0
1.0685	0.37	0.12	0
1.071	0.38	0.12	0
1.0732	0.39	0.12	0
1.0753	0.4	0.12	0
1.0772	0.41	0.12	0
1.079	0.42	0.12	0
1.0805	0.43	0.12	0
1.0819	0.44	0.12	0
1.083	0.45	0.12	0
1.084	0.46	0.12	0
1.0847	0.47	0.12	0
1.0853	0.48	0.12	0
1.0856	0.49	0.12	0
1.0857	0.5	0.12	0
0.97395	0	0.13	0
0.97406	0.01	0.13	0
0.9744	0.02	0.13	0
0.97496	0.03	0.13	0
0.97575	0.04	0.13	0
0.97676	0.05	0.13	0
0.97798	0.06	0.13	0
0.97941	0.07	0.13	0
0.98104	0.08	0.13	0
0.98287	0.09	0.13	0
0.9849	0.1	0.13	0
0.9871	0.11	0.13	0
0.98948	0.12	0.13	0
0.99202	0.13	0.13	0
0.99472	0.14	0.13	0
0.99756	0.15	0.13	0
1.0005	0.16	0.13	0
1.0036	0.17	0.13	0
1.0068	0.18	0.13	0
1.0101	0.19	0.13	0
1.0135	0.2	0.13	0
1.0169	0.21	0.13	0
1.0204	0.22	0.13	0
1.024	0.23	0.13	0
1.0275	0.24	0.13	0
1.0311	0.25	0.13	0
1.0347	0.26	0.13	0
1.0383	0.27	0.13	0
1.0418	0.28	0.13	0
1.0453	0.29	0.13	0
1.0487	0.3	0.13	0
1.0521	0.31	0.13	0
1.0554	0.32	0.13	0
1.0585	0.33	0.13	0
1.0616	0.34	0.13	0
1.0646	0.35	0.13	0
1.0674	0.36	0.13	0
1.0701	0.37	0.13	0
1.0726	0.38	0.13	0
1.075	0.39	0.13	0
1.0771	0.4	0.13	0
1.0791	0.41	0.13	0
1.081	0.42	0.13	0
1.0826	0.43	0.13	0
1.084	0.44	0.13	0
1.0852	0.45	0.13	0
1.0862	0.46	0.13	0
1.087	0.47	0.13	0
1.0875	0.48	0.13	0
1.0879	0.49	0.13	0
1.088	0.5	0.13	0
0.97139	0	0.14	0
0.97151	0.01	0.14	0
0.97186	0.02	0.14	0
0.97245	0.03	0.14	0
0.97327	0.04	0.14	0
0.97432	0.05	0.14	0
0.97559	0.06	0.14	0
0.97709	0.07	0.14	0
0.97879	0.08	0.14	0
0.98071	0.09	0.14	0
0.98282	0.1	0.14	0
0.98512	0.11	0.14	0
0.9876	0.12	0.14	0
0.99026	0.13	0.14	0
0.99307	0.14	0.14	0
0.99604	0.15	0.14	0
0.99914	0.16	0.14	0
1.0024	0.17	0.14	0
1.0057	0.18	0.14	0
1.0091	0.19	0.14	0
1.0127	0.2	0.14	0
1.0163	0.21	0.14	0
1.0199	0.22	0.14	0
1.0236	0.23	0.14	0
1.0273	0.24	0.14	0
1.0311	0.25	0.14	0
1.0348	0.26	0.14	0
1.0385	0.27	0.14	0
1.0422	0.28	0.14	0
1.0459	0.29	0.14	0
1.0495	0.3	0.14	0
1.053	0.31	0.14	0
1.0564	0.32	0.14	0
1.0597	0.33	0.14	0
1.0629	0.34	0.14	0
1.066	0.35	0.14	0
1.069	0.36	0.14	0
1.0718	0.37	0.14	0
1.0744	0.38	0.14	0
1.0769	0.39	0.14	0
1.0791	0.4	0.14	0
1.0812	0.41	0.14	0
1.0831	0.42	0.14	0
1.0848	0.43	0.14	0
1.0863	0.44	0.14	0
1.0876	0.45	0.14	0
1.0886	0.46	0.14	0
1.0894	0.47	0.14	0
1.09	0.48	0.14	0
1.0903	0.49	0.14	0
1.0905	0.5	0.14	0
0.96859	0	0.15	0
0.96872	0.01	0.15	0
0.96909	0.02	0.15	0
0.9697	0.03	0.15	0
0.97056	0.04	0.15	0
0.97166	0.05	0.15	0
0.97299	0.06	0.15	0
0.97455	0.07	0.15	0
0.97633	0.08	0.15	0
0.97833	0.09	0.15	0
0.98054	0.1	0.15	0
0.98295	0.11	0.15	0
0.98555	0.12	0.15	0
0.98833	0.13	0.15	0
0.99127	0.14	0.15	0
0.99437	0.15	0.15	0
0.99762	0.16	0.15	0
1.001	0.17	0.15	0
1.0045	0.18	0.15	0
1.0081	0.19	0.15	0
1.0118	0.2	0.15	0
1.0155	0.21	0.15	0
1.0194	0.22	0.15	0
1.0232	0.23	0.15	0
1.0271	0.24	0.15	0
1.031	0.25	0.15	0
1.035	0.26	0.15	0
1.0388	0.27	0.15	0
1.0427	0.28	0.15	0
1.0465	0.29	0.15	0
1.0503	0.3	0.15	0
1.054	0.31	0.15	0
1.0575	0.32	0.15	0
1.061	0.33	0.15	0
1.0644	0.34	0.15	0
1.0676	0.35	0.15	0
1.0707	0.36	0.15	0
1.0736	0.37	0.15	0
1.0764	0.38	0.15	0
1.079	0.39	0.15	0
1.0813	0.4	0.15	0
1.0835	0.41	0.15	0
1.0855	0.42	0.15	0
1.0873	0.43	0.15	0
1.0888	0.44	0.15	0
1.0902	0.45	0.15	0
1.0912	0.46	0.15	0
1.0921	0.47	0.15	0
1.0927	0.48	0.15	0
1.0931	0.49	0.15	0
1.0932	0.5	0.15	0
0.96554	0	0.16	0
0.96567	0.01	0.16	0
0.96606	0.02	0.16	0
0.9667	0.03	0.16	0
0.9676	0.04	0.16	0
0.96875	0.05	0.16	0
0.97015	0.06	0.16	0
0.97178	0.07	0.16	0
0.97365	0.08	0.16	0
0.97575	0.09	0.16	0
0.97806	0.1	0.16	0
0.98059	0.11	0.16	0
0.98331	0.12	0.16	0
0.98622	0.13	0.16	0
0.98931	0.14	0.16	0
0.99256	0.15	0.16	0
0.99596	0.16	0.16	0
0.9995	0.17	0.16	0
1.0032	0.18	0.16	0
1.0069	0.19	0.16	0
1.0108	0.2	0.16	0
1.0147	0.21	0.16	0
1.0187	0.22	0.16	0
1.0228	0.23	0.16	0
1.0269	0.24	0.16	0
1.031	0.25	0.16	0
1.0351	0.26	0.16	0
1.0392	0.27	0.16	0
1.0432	0.28	0.16	0
1.0472	0.29	0.16	0
1.0512	0.3	0.16	0
1.055	0.31	0.16	0
1.0588	0.32	0.16	0
1.0624	0.33	0.16	0
1.0659	0.34	0.16	0
1.0693	0.35	0.16	0
1.0726	0.36	0.16	0
1.0756	0.37	0.16	0
1.0785	0.38	0.16	0
1.0812	0.39	0.16	0
1.0837	0.4	0.16	0
1.086	0.41	0.16	0
1.0881	0.42	0.16	0
1.09	0.43	0.16	0
1.0916	0.44	0.16	0
1.093	0.45	0.16	0
1.0941	0.46	0.16	0
1.095	0.47	0.16	0
1.0956	0.48	0.16	0
1.096	0.49	0.16	0
1.0962	0.5	0.16	0
0.96223	0	0.17	0
0.96236	0.01	0.17	0
0.96277	0.02	0.17	0
0.96345	0.03	0.17	0
0.96439	0.04	0.17	0
0.9656	0.05	0.17	0
0.96706	0.06	0.17	0
0.96878	0.07	0.17	0
0.97074	0.08	0.17	0
0.97294	0.09	0.17	0
0.97537	0.1	0.17	0
0.97802	0.11	0.17	0
0.98088	0.12	0.17	0
0.98393	0.13	0.17	0
0.98717	0.14	0.17	0
0.99058	0.15	0.17	0
0.99415	0.16	0.17	0
0.99787	0.17	0.17	0
1.0017	0.18	0.17	0
1.0057	0.19	0.17	0
1.0097	0.2	0.17	0
1.0139	0.21	0.17	0
1.0181	0.22	0.17	0
1.0223	0.23	0.17	0
1.0266	0.24	0.17	0
1.0309	0.25	0.17	0
