#"p" "T" "U:0" "U:1" "U:2" "Points:0" "Points:1" "Points:2"
0.24739 1.9201 -3.5727e-05 6.5632e-05 -1.613e-22 -1.7786 0.16866 0.5
0.24695 1.9328 -2.5229e-05 5.8776e-05 0 -1.8105 0.17711 0.5
0.9583 1.1242 -0.00037626 0.00090873 -4.8536e-23 1.4832 0.35594 0.5
1.0492 1.0923 -0.00029523 0.00076572 9.2215e-24 1.4724 0.34955 0.5
1.0139 1.104 -0.00034639 0.00083718 4.6778e-23 1.4725 0.36357 0.5
0.4207 1.1034 -5.7125e-05 -2.8722e-05 -3.9366e-23 -0.57787 0.033376 0.5
0.43812 1.0767 -3.5438e-05 -1.9926e-05 1.9615e-22 -0.55716 0.022956 0.5
0.42076 1.1018 -7.3284e-05 0 0 -0.57921 0 0.5
0.32273 1.4227 -0.0010135 0.00011313 -1.4249e-22 0.57132 1.2738 0.5
0.33759 1.3966 -0.0012957 0.00014217 -3.6423e-23 0.56177 1.2526 0.5
0.31934 1.4298 -0.00095562 6.913e-05 6.4415e-24 0.55388 1.2816 0.5
0.26414 1.5586 0.00048176 -0.00018194 -5.3324e-23 0.57888 1.3878 0.5
0.26685 1.5516 0.00042184 -0.00017014 9.9926e-23 0.60418 1.3774 0.5
0.27546 1.5297 0.00016467 -0.00011312 -3.5689e-23 0.57849 1.3616 0.5
0.25076 1.7026 0.00087097 0.00066352 -1.0961e-22 -0.48615 1.3852 0.5
0.2528 1.6892 0.00079287 0.00065359 1.5766e-22 -0.49287 1.3586 0.5
0.24978 1.7134 0.00088594 0.0006807 -2.2458e-22 -0.51852 1.3869 0.5
0.4181 1.2372 -0.0021589 -0.00023898 -2.1716e-22 0.30211 1.1356 0.5
0.42038 1.2376 -0.0021836 -0.00020304 -1.321e-22 0.32495 1.1373 0.5
0.44479 1.205 -0.0021921 -0.00023134 4.4755e-23 0.32176 1.1142 0.5
0.062362 1.7285 -0.0002472 -0.00043629 -1.9148e-24 1.8203 0.16843 0.5
0.046809 1.7491 -0.0002147 -0.00046069 4.9402e-24 1.8321 0.17504 0.5
0.049832 1.7446 -0.00022551 -0.00043124 1.6101e-24 1.8302 0.16346 0.5
0.44087 1.3807 -0.00050901 0.00038762 -1.0776e-23 1.6133 0.30341 0.5
0.45614 1.3718 -0.00051761 0.00042322 -2.452e-23 1.6113 0.29296 0.5
0.49217 1.3495 -0.00052324 0.00050758 1.385e-24 1.5987 0.30123 0.5
0.19604 1.9191 0.0013114 -0.00024421 2.1297e-23 0.4127 1.835 0.5
0.19514 1.912 0.001403 -0.00028388 -9.2686e-23 0.44115 1.8188 0.5
0.19784 1.8986 0.0015297 -0.00028068 2.9625e-23 0.41987 1.8054 0.5
0.29928 1.486 -0.00046633 -7.7234e-05 3.273e-23 1.639 0.39936 0.5
0.32262 1.4678 -0.00048103 2.1574e-05 -1.0073e-23 1.6337 0.38524 0.5
0.32767 1.4636 -0.00049491 5.2051e-05 1.223e-23 1.6279 0.39903 0.5
0.43619 1.1993 -0.0020503 -0.0004234 -7.4739e-23 0.20685 1.091 0.5
0.4134 1.2297 -0.0020472 -0.00042304 -1.5483e-22 0.1868 1.1081 0.5
0.41625 1.2301 -0.0020738 -0.00039981 1.1032e-23 0.21651 1.1153 0.5
0.59279 1.0892 -0.0015855 0.00011117 -1.0183e-22 0.52174 1.0492 0.5
0.64176 1.0581 -0.0011975 5.5406e-05 2.3701e-23 0.5373 1.0312 0.5
0.65768 1.0408 -0.00087474 3.7851e-05 -3.3732e-22 0.51474 1.022 0.5
0.31762 1.425 -0.00098344 -3.4346e-05 1.0151e-22 0.36747 1.2883 0.5
0.31791 1.4254 -0.00099162 -1.1405e-05 -5.706e-24 0.39919 1.287 0.5
0.32861 1.4023 -0.0012192 -3.1879e-05 -1.057e-22 0.38108 1.269 0.5
0.246 1.966 -8.4195e-06 6.1039e-06 6.3721e-23 -1.9061 0.034655 0.5
0.24643 1.9512 -1.6633e-05 7.2599e-06 2.4818e-23 -1.8639 0.029112 0.5
0.24618 1.9586 -1.2592e-05 0 -1.6715e-22 -1.8857 0 0.5
0.26042 1.6572 0.00030122 0.00063565 5.8432e-23 -0.75574 1.1134 0.5
0.26014 1.661 0.00028551 0.00064364 1.8258e-22 -0.78177 1.0953 0.5
0.25773 1.6806 0.00037036 0.00068256 -6.7724e-23 -0.79135 1.1298 0.5
0.97989 1.1312 -0.00015602 0.00036298 -1.6374e-22 1.5359 0.15187 0.5
0.93081 1.1484 -0.00021018 0.00040039 9.1311e-24 1.5412 0.16069 0.5
0.88321 1.1667 -0.00020328 0.0003866 1.2368e-22 1.5498 0.15151 0.5
0.74259 1.0436 -0.00091602 0.00023449 -1.0485e-22 0.75427 0.98952 0.5
0.77746 1.0273 -0.00059587 0.00013933 1.1836e-22 0.77087 0.97617 0.5
0.79658 1 0 0 0 0.75884 0.96592 0.5
0.29704 1.4729 -0.00049845 -3.0015e-05 6.6465e-23 0.37002 1.3291 0.5
0.30669 1.4487 -0.00075843 -2.1772e-05 1.3805e-22 0.38246 1.3073 0.5
0.11936 1.6805 -1.0018e-05 -0.0011523 9.5841e-24 1.7122 0.51836 0.5
0.11212 1.692 2.8205e-05 -0.0012167 9.8591e-24 1.7143 0.53389 0.5
0.10214 1.7032 3.7615e-05 -0.0012203 1.2356e-23 1.7247 0.52246 0.5
0.25809 1.6796 0.00033422 0.00067995 -2.8469e-23 -0.81311 1.1042 0.5
0.25604 1.6977 0.00040561 0.00071169 -8.0204e-23 -0.82667 1.1336 0.5
0.88747 1.1556 -0.00037902 0.00085106 9.9038e-24 1.5128 0.30433 0.5
0.8378 1.1753 -0.00040805 0.00089555 1.0362e-23 1.5184 0.31241 0.5
0.83347 1.1784 -0.00040341 0.00086534 2.4993e-23 1.5236 0.29942 0.5
0.25085 1.5571 0.00031988 -0.00058235 -3.7502e-23 1.1841 1.1194 0.5
0.26709 1.5307 7.9131e-05 -0.00039253 -3.3555e-23 1.1701 1.1049 0.5
0.26256 1.5383 0.000152 -0.00043345 -3.2656e-24 1.161 1.1188 0.5
0.051446 1.9682 0.00037741 -0.00051326 4.506e-26 1.5898 1.1646 0.5
0.059621 1.9501 0.00055458 -0.00074163 -5.3102e-25 1.5703 1.1654 0.5
0.24534 1.9859 1.1757e-07 1.8121e-05 1.998e-22 -1.9444 0.2459 0.5
0.2454 1.9863 -2.4298e-07 1.425e-05 -1.6282e-22 -1.9491 0.20302 0.5
0.24513 2 0 0 0 -1.9871 0.22672 0.5
0.50096 1.3492 -0.00034797 0.00024059 1.5905e-24 1.6295 0.12682 0.5
0.47016 1.3689 -0.00035994 0.00021028 1.3772e-23 1.6394 0.12223 0.5
0.50516 1.3472 -0.00033515 0.00022854 2.0729e-23 1.6289 0.11849 0.5
0.27652 1.5497 -0.00012913 0.000301 7.9796e-23 -0.64028 1.0133 0.5
0.27287 1.5708 -4.663e-05 0.0003775 6.9845e-23 -0.66373 1.0302 0.5
0.27516 1.5561 -9.3974e-05 0.00032199 3.2909e-22 -0.62649 1.0368 0.5
0.26578 1.6111 0.00021705 0.0005055 -7.4964e-23 -0.60984 1.1473 0.5
0.26277 1.6305 0.00032625 0.00055945 1.4409e-23 -0.61165 1.1826 0.5
