#"temperature_average" "density_average" "mass_flow_average:0" "mass_flow_average:1" "Points:0" "Points:1"
0.69146 1.4526 0.0042216 -0.002571 7 4
0.70141 1.432 0.0047576 -0.0023922 8 4
0.71255 1.4097 0.0052679 -0.0021992 9 4
0.72485 1.3858 0.0057491 -0.0019946 10 4
0.73825 1.3606 0.0061984 -0.0017813 11 4
0.75271 1.3346 0.0066133 -0.0015627 12 4
0.76816 1.3078 0.0069917 -0.0013419 13 4
0.78453 1.2806 0.007332 -0.0011219 14 4
0.80178 1.2531 0.007633 -0.00090568 15 4
0.81981 1.2256 0.0078939 -0.00069623 16 4
0.83857 1.1983 0.0081139 -0.00049633 17 4
0.85797 1.1713 0.0082924 -0.00030791 18 4
0.87793 1.1447 0.0084293 -0.00013153 19 4
0.89837 1.1188 0.0085242 3.3281e-05 20 4
0.9192 1.0935 0.0085781 0.00018728 21 4
0.94035 1.069 0.0085923 0.0003308 22 4
0.96171 1.0454 0.0085677 0.00046478 23 4
0.98321 1.0226 0.0085063 0.00059111 24 4
1.0048 1.0008 0.0084125 0.000711 25 4
1.0263 0.97992 0.0082943 0.00082335 26 4
1.0477 0.96001 0.0081537 0.00092499 27 4
1.0688 0.94106 0.0079861 0.0010154 28 4
1.0898 0.9231 0.0077906 0.0010967 29 4
1.1103 0.9061 0.0075681 0.00117 30 4
1.1304 0.89007 0.0073205 0.0012365 31 4
1.15 0.875 0.00705 0.0012971 32 4
1.169 0.86087 0.0067586 0.0013523 33 4
1.1873 0.84767 0.0064481 0.0014027 34 4
1.2049 0.83538 0.0061203 0.0014487 35 4
1.2217 0.82399 0.0057768 0.0014903 36 4
1.2376 0.81347 0.0054189 0.0015276 37 4
1.2526 0.80382 0.0050479 0.001561 38 4
1.2665 0.79501 0.0046652 0.0015904 39 4
1.2795 0.78702 0.0042724 0.0016162 40 4
1.2913 0.77984 0.0038709 0.0016386 41 4
1.3021 0.77346 0.0034618 0.0016578 42 4
1.3116 0.76787 0.0030459 0.0016743 43 4
1.32 0.76304 0.0026235 0.0016882 44 4
1.3271 0.75897 0.0021948 0.0017001 45 4
1.333 0.75566 0.00176 0.00171 46 4
1.3376 0.75309 0.0013216 0.0017179 47 4
1.3409 0.75125 0.00088216 0.0017242 48 4
1.3429 0.75013 0.00045908 0.0017295 49 4
1.3435 0.74977 0.00025609 0.0017321 50 4
0.6831 1.4704 0.00037196 -0.0036674 0 5
